               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.067305,           0.0063875,                   0,             0.77781,             0.78208,             0.79428,             0.33647,            0.075502,           0.0065825,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.066759,           0.0064249,                   0,              0.7787,             0.78263,             0.79502,             0.33749,            0.075478,           0.0065786,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.066862,           0.0064426,                   0,             0.77716,             0.78062,             0.79348,             0.33743,            0.075456,           0.0065757,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.067026,           0.0064032,                   0,             0.77626,             0.78071,             0.79342,             0.33782,            0.075422,           0.0065759,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.066763,           0.0063994,                   0,             0.77633,              0.7802,             0.79296,             0.33739,            0.075383,           0.0065745,                   0,            0.007096,            0.007096,            0.007096
                  90,              0.0663,           0.0064091,                   0,             0.77701,             0.78065,             0.79349,              0.3377,            0.075347,           0.0065709,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.066231,           0.0064216,                   0,             0.77839,             0.78192,             0.79507,             0.33795,            0.075308,           0.0065672,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.066466,           0.0064007,                   0,             0.77844,             0.78229,             0.79557,             0.33905,            0.075273,           0.0065647,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.066463,           0.0063957,                   0,             0.77853,             0.78271,             0.79564,             0.33886,             0.07525,           0.0065617,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.066599,           0.0063885,                   0,             0.77907,             0.78403,             0.79751,             0.33921,            0.075239,            0.006558,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.066073,           0.0063494,                   0,              0.7782,             0.78314,             0.79722,             0.33973,            0.075228,           0.0065541,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.06624,           0.0064021,                   0,             0.77896,             0.78457,             0.79864,             0.33975,            0.075205,           0.0065516,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.066042,           0.0063914,                   0,             0.77837,             0.78397,             0.79776,             0.33958,            0.075184,           0.0065459,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.065646,           0.0063898,                   0,             0.77931,             0.78446,             0.79824,             0.33876,             0.07517,            0.006541,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.066262,           0.0064311,                   0,             0.77725,             0.78248,             0.79672,              0.3386,            0.075169,           0.0065414,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.065797,           0.0063732,                   0,              0.7748,             0.78043,             0.79527,             0.33799,            0.075151,           0.0065412,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.065705,           0.0063479,                   0,             0.77246,             0.77786,             0.79277,             0.33726,            0.075147,            0.006539,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.065769,           0.0063708,                   0,             0.77342,              0.7786,             0.79429,             0.33735,            0.075127,           0.0065372,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.065625,           0.0063618,                   0,             0.77404,               0.779,             0.79533,             0.33754,            0.075113,           0.0065347,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.065099,           0.0063308,                   0,             0.77359,             0.77908,             0.79518,             0.33741,            0.075096,           0.0065325,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.065106,           0.0063957,                   0,             0.77076,             0.77622,             0.79245,             0.33732,            0.075085,            0.006529,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.065362,            0.006347,                   0,             0.77094,              0.7765,             0.79321,             0.33732,            0.075066,           0.0065271,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.065138,           0.0063918,                   0,             0.76992,             0.77558,             0.79269,             0.33648,            0.075056,           0.0065244,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.065267,           0.0063237,                   0,             0.76974,             0.77559,              0.7925,             0.33615,            0.075051,           0.0065225,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.065237,           0.0063868,                   0,             0.77061,             0.77658,             0.79371,             0.33627,            0.075069,           0.0065216,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.064796,           0.0063408,                   0,              0.7691,             0.77526,             0.79227,             0.33599,            0.075073,            0.006517,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.064948,            0.006277,                   0,             0.76917,             0.77543,              0.7924,             0.33611,             0.07508,           0.0065125,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.065269,           0.0063352,                   0,             0.76729,             0.77342,             0.79055,             0.33587,            0.075076,           0.0065101,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.064785,           0.0063804,                   0,             0.76667,             0.77268,             0.79009,             0.33547,            0.075089,           0.0065078,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.064899,           0.0062367,                   0,             0.76573,             0.77162,             0.78931,             0.33542,            0.075067,           0.0065042,                   0,            0.006271,            0.006271,            0.006271
                 115,             0.06467,           0.0063296,                   0,             0.76552,             0.77098,             0.78923,             0.33521,            0.075065,           0.0065029,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.064904,           0.0063365,                   0,              0.7657,             0.77136,             0.78868,             0.33435,            0.075081,           0.0065073,                   0,            0.006205,            0.006205,            0.006205
                 117,              0.0653,           0.0063192,                   0,             0.76539,             0.77114,              0.7884,             0.33409,            0.075078,           0.0065087,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.065073,           0.0063479,                   0,             0.76518,             0.77102,             0.78823,             0.33446,            0.075068,           0.0065067,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.064696,           0.0063651,                   0,             0.76517,             0.77121,             0.78815,             0.33425,            0.075046,           0.0065083,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.064973,           0.0063451,                   0,             0.76442,             0.77055,             0.78756,             0.33442,            0.075039,           0.0065064,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.064642,           0.0062933,                   0,             0.76526,             0.77129,             0.78696,             0.33496,            0.075042,            0.006504,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.065792,           0.0063683,                   0,              0.7654,             0.77111,             0.78764,             0.33499,            0.075036,           0.0064859,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.064605,           0.0063316,                   0,             0.76496,             0.77076,             0.78767,              0.3351,             0.07505,           0.0064786,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.064027,           0.0062537,                   0,             0.76505,             0.77043,             0.78791,             0.33472,            0.075047,           0.0064753,                   0,            0.005941,            0.005941,            0.005941
                 125,             0.06471,           0.0062929,                   0,             0.76317,             0.76904,              0.7868,             0.33385,            0.075036,           0.0064738,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.063885,           0.0062404,                   0,             0.76195,              0.7676,              0.7853,             0.33374,            0.075019,           0.0064723,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.063821,           0.0062347,                   0,             0.76195,             0.76779,             0.78517,             0.33383,            0.074992,           0.0064704,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.063962,           0.0062538,                   0,             0.76245,             0.76849,             0.78584,              0.3351,               0.075,           0.0064698,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.063964,           0.0062316,                   0,             0.76238,             0.76819,             0.78549,             0.33438,            0.074987,            0.006471,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.063598,           0.0062287,                   0,             0.76338,              0.7691,             0.78611,             0.33455,             0.07499,             0.00647,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.063729,           0.0062977,                   0,             0.76255,             0.76856,             0.78552,             0.33414,            0.075001,           0.0064703,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.063926,           0.0062677,                   0,             0.76199,             0.76798,              0.7848,             0.33385,            0.074998,           0.0064697,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.063967,            0.006287,                   0,             0.76184,             0.76781,             0.78445,             0.33409,             0.07498,           0.0064688,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.063783,           0.0062681,                   0,             0.76241,             0.76827,             0.78518,             0.33444,            0.074961,           0.0064704,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.063672,           0.0062888,                   0,             0.76332,             0.76899,              0.7859,             0.33454,            0.074948,           0.0064703,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.063085,            0.006257,                   0,             0.76258,             0.76803,             0.78503,               0.334,            0.074939,           0.0064714,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.063487,           0.0062776,                   0,             0.76141,             0.76733,             0.78506,             0.33386,            0.074954,           0.0064741,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.062748,           0.0062568,                   0,             0.75762,             0.76399,             0.78153,             0.33291,            0.074961,           0.0064783,                   0,            0.005479,            0.005479,            0.005479
